buy_month	sell_month	pints_purchased	expected_profit
2025-01-01	2025-02-01	208281	-226605.5623799999
2025-01-01	2025-03-01	204031	-320683.68394
2025-01-01	2025-04-01	199952	-326068.92467199994
2025-01-01	2025-05-01	196032	-388072.78848000005
2025-01-01	2025-06-01	192263	-443616.11042
2025-01-01	2025-07-01	188636	-460392.56703999994
2025-01-01	2025-08-01	185144	-423261.40128
2025-01-01	2025-09-01	181778	-408778.73084
2025-01-01	2025-10-01	178533	-375854.8129200001
2025-01-01	2025-11-01	175401	-305029.35503999994
2025-01-01	2025-12-01	172378	-254975.67674799988
2025-02-01	2025-03-01	225947	-247714.73397999993
2025-02-01	2025-04-01	220955	-255277.26588000002
2025-02-01	2025-05-01	216178	-325183.59471999994
2025-02-01	2025-06-01	211604	-387645.8317600001
2025-02-01	2025-07-01	207219	-407235.06756
2025-02-01	2025-08-01	203012	-367597.8886400001
2025-02-01	2025-09-01	198973	-352854.73874000006
2025-02-01	2025-10-01	195091	-317967.11544
2025-02-01	2025-11-01	191358	-241807.62312000003
2025-02-01	2025-12-01	187765	-188472.12298999995
2025-03-01	2025-04-01	250037	-157257.27063199997
2025-03-01	2025-05-01	243938	-238532.33392
2025-03-01	2025-06-01	238129	-310886.9346599999
2025-03-01	2025-07-01	232590	-334659.79560000007
2025-03-01	2025-08-01	227303	-291929.7889599999
2025-03-01	2025-09-01	222251	-277142.55197999993
2025-03-01	2025-10-01	217419	-239908.8213600001
2025-03-01	2025-11-01	212793	-156879.51131999987
2025-03-01	2025-12-01	208359	-99463.502394
2025-04-01	2025-05-01	247221	-228283.8713999999
2025-04-01	2025-06-01	241256	-301835.3816
2025-04-01	2025-07-01	235573	-326127.26119999995
2025-04-01	2025-08-01	230151	-283058.11188000004
2025-04-01	2025-09-01	224973	-268289.30142000003
2025-04-01	2025-10-01	220023	-230804.12699999998
2025-04-01	2025-11-01	215287	-146997.96359999996
2025-04-01	2025-12-01	210749	-89131.23157399989
2025-05-01	2025-06-01	265364	-232071.43256000002
2025-05-01	2025-07-01	258504	-260530.67136000007
2025-05-01	2025-08-01	251990	-215028.10679999992
2025-05-01	2025-09-01	245796	-200564.62008000014
2025-05-01	2025-10-01	239900	-161318.3560000001
2025-05-01	2025-11-01	234279	-71745.60095999987
2025-05-01	2025-12-01	228916	-10613.91925599998
2025-06-01	2025-07-01	284462	-186277.09608000002
2025-06-01	2025-08-01	276594	-138385.51007999998
2025-06-01	2025-09-01	269150	-124611.06699999998
2025-06-01	2025-10-01	262095	-83723.62680000004
2025-06-01	2025-11-01	255401	11942.550760000091
2025-06-01	2025-12-01	249041	76364.43799400018
2025-07-01	2025-08-01	287488	-104450.14015999997
2025-07-01	2025-09-01	279454	-91096.41492000011
2025-07-01	2025-10-01	271857	-49597.59108000004
2025-07-01	2025-11-01	264662	48634.289120000096
2025-07-01	2025-12-01	257838	114385.70329200008
2025-08-01	2025-09-01	265872	-135270.35616000017
2025-08-01	2025-10-01	258986	-94592.04664000023
2025-08-01	2025-11-01	252448	242.35007999990603
2025-08-01	2025-12-01	246232	64225.677488
2025-09-01	2025-10-01	255506	-106760.62704000011
2025-09-01	2025-11-01	249140	-12865.589599999867
2025-09-01	2025-12-01	243084	50618.35365600001
2025-10-01	2025-11-01	238982	-53111.35967999973
2025-10-01	2025-12-01	233404	8783.926136000142
2025-11-01	2025-12-01	212657	-80887.49246199991
